n,d,adversary,estimator,epsilon,loss,loss_stddev,loss/epsilon,loss_reg1,loss_reg2
9999,5,SwapAdversary,Base,0.05,0.23359669529947252,0.0,4.67193390598945,2.0893523600357042,2.699262934199484
2499,5,SwapAdversary,Base,0.1,0.4389961345317571,0.0,4.3899613453175705,1.9632503973453033,2.893029431401006
19999,10,SwapAdversary,Base,0.05,0.3279763895186725,0.0,6.5595277903734495,2.0743048192751607,3.789841762895538
4999,10,SwapAdversary,Base,0.1,0.649774892907441,0.0,6.497748929074409,2.054768627979501,4.282083009618566
29999,15,SwapAdversary,Base,0.05,0.39141774717946143,0.0,7.828354943589228,2.0212725549814388,4.5229210772647885
7499,15,SwapAdversary,Base,0.1,0.7673052560979646,0.0,7.673052560979646,1.981173652216556,5.056620125204119
39999,20,SwapAdversary,Base,0.05,0.44577773892122685,0.0,8.915554778424536,1.9935786541680338,5.151063143332231
9999,20,SwapAdversary,Base,0.1,0.9091066545460369,0.0,9.091066545460368,2.0328242783623565,5.991105845816808
49999,25,SwapAdversary,Base,0.05,0.4943670709574112,0.0,9.887341419148225,1.977468283829645,5.712523924250566
12499,25,SwapAdversary,Base,0.1,0.9891532464590395,0.0,9.891532464590394,1.978306492918079,6.518621074475182
9999,5,SwapAdversary,Median,0.05,0.04667048200879262,0.0,0.9334096401758524,0.4174334812573649,0.5392880325042948
2499,5,SwapAdversary,Median,0.1,0.12460369407977814,0.0,1.2460369407977814,0.557244660419944,0.8211510896755015
19999,10,SwapAdversary,Median,0.05,0.10067005753838437,0.0,2.013401150767687,0.6366933480029964,1.16326540728123
4999,10,SwapAdversary,Median,0.1,0.21807417889720898,0.0,2.1807417889720897,0.6896111041862064,1.4371311457016818
29999,15,SwapAdversary,Median,0.05,0.12161097814950429,0.0,2.4322195629900856,0.6279963907853656,1.4052425069193244
7499,15,SwapAdversary,Median,0.1,0.28508146910682386,0.0,2.8508146910682384,0.7360771881087154,1.8787160423468727
39999,20,SwapAdversary,Median,0.05,0.14336241766255403,0.0,2.8672483532510804,0.6411362226243745,1.6565853367816517
9999,20,SwapAdversary,Median,0.1,0.35622824604300185,0.0,3.5622824604300183,0.7965505736576726,2.347580579947478
49999,25,SwapAdversary,Median,0.05,0.16895394521248522,0.0,3.3790789042497043,0.6758157808499409,1.9523012571482279
12499,25,SwapAdversary,Median,0.1,0.3659408038552865,0.0,3.659408038552865,0.731881607710573,2.411587329426249
9999,5,SwapAdversary,RANSAC,0.05,0.24951330402076888,0.0,4.990266080415378,2.231714836324043,2.8831829674194425
2499,5,SwapAdversary,RANSAC,0.1,0.4865436538526976,0.0,4.865436538526976,2.1758893680715183,3.2063724473533206
19999,10,SwapAdversary,RANSAC,0.05,0.3279763895186725,0.0,6.5595277903734495,2.0743048192751607,3.789841762895538
4999,10,SwapAdversary,RANSAC,0.1,0.7204982863761829,0.0,7.2049828637618285,2.278415635197002,4.748157406860948
29999,15,SwapAdversary,RANSAC,0.05,0.39141774717946143,0.0,7.828354943589228,2.0212725549814388,4.5229210772647885
7499,15,SwapAdversary,RANSAC,0.1,0.7673052560979646,0.0,7.673052560979646,1.981173652216556,5.056620125204119
39999,20,SwapAdversary,RANSAC,0.05,0.44577773892122685,0.0,8.915554778424536,1.9935786541680338,5.151063143332231
9999,20,SwapAdversary,RANSAC,0.1,0.9091066545460369,0.0,9.091066545460368,2.0328242783623565,5.991105845816808
49999,25,SwapAdversary,RANSAC,0.05,0.4943670709574112,0.0,9.887341419148225,1.977468283829645,5.712523924250566
12499,25,SwapAdversary,RANSAC,0.1,0.9891532464590395,0.0,9.891532464590394,1.978306492918079,6.518621074475182
9999,5,SwapAdversary,GeoMedian,0.05,0.034991347579014016,0.0,0.6998269515802803,0.3129721272439921,0.40433297832675574
2499,5,SwapAdversary,GeoMedian,0.1,0.0759956019661192,0.0,0.7599560196611919,0.33986266397451836,0.5008187905333695
19999,10,SwapAdversary,GeoMedian,0.05,0.07246539309590928,0.0,1.4493078619181856,0.4583113874450276,0.8373540958925749
4999,10,SwapAdversary,GeoMedian,0.1,0.1660366578389829,0.0,1.6603665783898287,0.5250540138532365,1.0941985590191738
29999,15,SwapAdversary,GeoMedian,0.05,0.09571420989839127,0.0,1.9142841979678253,0.4942660545758273,1.1059994608386925
7499,15,SwapAdversary,GeoMedian,0.1,0.20395523899912946,0.0,2.0395523899912944,0.5266101626769212,1.34408588754948
39999,20,SwapAdversary,GeoMedian,0.05,0.11731813144281693,0.0,2.3463626288563386,0.5246626337987882,1.3556376870279032
9999,20,SwapAdversary,GeoMedian,0.1,0.28427539331097856,0.0,2.8427539331097855,0.635659103773837,1.8734039203989021
49999,25,SwapAdversary,GeoMedian,0.05,0.13524381706536542,0.0,2.7048763413073083,0.5409752682614617,1.5627730607069974
12499,25,SwapAdversary,GeoMedian,0.1,0.3158707528351914,0.0,3.158707528351914,0.6317415056703828,2.0816205715471856
9999,5,SwapAdversary,Pruning,0.05,0.23359695513486764,0.0,4.671939102697353,2.0893546840741304,2.6992659366565612
2499,5,SwapAdversary,Pruning,0.1,0.4389964258229576,0.0,4.3899642582295755,1.9632517000391543,2.8930313510398133
19999,10,SwapAdversary,Pruning,0.05,0.32797663966244656,0.0,6.5595327932489305,2.074306401323298,3.78984465336373
4999,10,SwapAdversary,Pruning,0.1,0.649775844771415,0.0,6.49775844771415,2.054771638037682,4.282089282499522
29999,15,SwapAdversary,Pruning,0.05,0.3914180238117194,0.0,7.828360476234388,2.0212739835042766,4.5229242738134365
7499,15,SwapAdversary,Pruning,0.1,0.7673053470828742,0.0,7.673053470828742,1.9811738871385824,5.05662072480398
39999,20,SwapAdversary,Pruning,0.05,0.44577798222744697,0.0,8.915559644548939,1.993579742266529,5.1510659547909325
9999,20,SwapAdversary,Pruning,0.1,0.909106402224713,0.0,9.09106402224713,2.032823714154724,5.991104182993473
49999,25,SwapAdversary,Pruning,0.05,0.49436937360486227,0.0,9.887387472097245,1.977477494419449,5.712550531865485
12499,25,SwapAdversary,Pruning,0.1,0.9891532539528627,0.0,9.891532539528626,1.9783065079057254,6.518621123860243
9999,5,SwapAdversary,Filter2018Python,0.05,0.04877022357386072,0.0,0.9754044714772143,0.43621414075606113,0.5635510237710173
2499,5,SwapAdversary,Filter2018Python,0.1,0.13040917992132958,0.0,1.3040917992132957,0.5832075823881872,0.8594098352134425
19999,10,SwapAdversary,Filter2018Python,0.05,0.057825341255186,0.0,1.1565068251037198,0.3657195696857752,0.6681849677173592
4999,10,SwapAdversary,Filter2018Python,0.1,0.1046442581060015,0.0,1.0464425810600149,0.33091419967350233,0.6896163649611484
29999,15,SwapAdversary,Filter2018Python,0.05,0.05920601104754177,0.0,1.1841202209508355,0.3057385263766688,0.6841389211330831
7499,15,SwapAdversary,Filter2018Python,0.1,0.12085481819435638,0.0,1.2085481819435637,0.31204579878377825,0.7964456141187228
39999,20,SwapAdversary,Filter2018Python,0.05,0.060375287622276556,0.0,1.207505752445531,0.27000649456902404,0.6976501778482651
9999,20,SwapAdversary,Filter2018Python,0.1,0.11975476353227078,0.0,1.1975476353227077,0.2677797918875703,0.7891961413711825
49999,25,SwapAdversary,Filter2018Python,0.05,0.06362705202305209,0.0,1.2725410404610418,0.25450820809220837,0.7352250549521991
12499,25,SwapAdversary,Filter2018Python,0.1,0.1290731520310414,0.0,1.2907315203104137,0.2581463040620828,0.8506052747543874
9999,5,SwapAdversary,Filter2018MATLAB,0.05,0.07528726739930422,0.0,1.5057453479860843,0.6733897909801921,0.8699614951640369
2499,5,SwapAdversary,Filter2018MATLAB,0.1,0.14943084381242955,0.0,1.4943084381242955,0.6682750493994926,0.9847645459784163
19999,10,SwapAdversary,Filter2018MATLAB,0.05,0.06504571920137509,0.0,1.3009143840275017,0.41138524944018756,0.7516180768034003
4999,10,SwapAdversary,Filter2018MATLAB,0.1,0.11236333127784118,0.0,1.1236333127784117,0.355324052322016,0.7404858467461973
29999,15,SwapAdversary,Filter2018MATLAB,0.05,0.06277247864865301,0.0,1.2554495729730601,0.32415568587519167,0.7253502652805731
7499,15,SwapAdversary,Filter2018MATLAB,0.1,0.1259896920088464,0.0,1.259896920088464,0.3253039859627092,0.8302849578015438
39999,20,SwapAdversary,Filter2018MATLAB,0.05,0.06181091556420583,0.0,1.2362183112841165,0.276426817906128,0.7142391851798237
9999,20,SwapAdversary,Filter2018MATLAB,0.1,0.1229399839134407,0.0,1.229399839134407,0.274902161183184,0.8101870694987201
49999,25,SwapAdversary,Filter2018MATLAB,0.05,0.06654294016526893,0.0,1.3308588033053785,0.26617176066107573,0.7689188055100458
12499,25,SwapAdversary,Filter2018MATLAB,0.1,0.13220142646522326,0.0,1.3220142646522326,0.2644028529304465,0.8712209232662829
9999,5,SwapAdversary,CDGS20_PGD,0.05,0.07280161506499937,0.0,1.4560323012999872,0.6511574406284454,0.8412392172024674
2499,5,SwapAdversary,CDGS20_PGD,0.1,0.16983181617389875,0.0,1.6983181617389875,0.7595109714141717,1.1192090406523423
19999,10,SwapAdversary,CDGS20_PGD,0.05,0.08753685206095844,0.0,1.7507370412191687,0.5536316634276663,1.0115082314915882
4999,10,SwapAdversary,CDGS20_PGD,0.1,0.15469346602677247,0.0,1.5469346602677247,0.48918369179047866,1.019445764683629
29999,15,SwapAdversary,CDGS20_PGD,0.05,0.09179600862261082,0.0,1.8359201724522163,0.47403255019157886,1.060723754095973
7499,15,SwapAdversary,CDGS20_PGD,0.1,0.19821911624282437,0.0,1.9821911624282436,0.5117995574056072,1.3062842518384505
39999,20,SwapAdversary,CDGS20_PGD,0.05,0.09982043216267086,0.0,1.9964086432534172,0.44641054371827676,1.1534477928595932
9999,20,SwapAdversary,CDGS20_PGD,0.1,0.18150000274897324,0.0,1.8150000274897322,0.4058463440631028,1.196103583718818
49999,25,SwapAdversary,CDGS20_PGD,0.05,0.10254975064057388,0.0,2.0509950128114776,0.4101990025622955,1.1849856885202517
12499,25,SwapAdversary,CDGS20_PGD,0.1,0.19927367143105268,0.0,1.9927367143105268,0.39854734286210536,1.3132338783991382
9999,5,SwapAdversary,CDGS20_PGDPython,0.05,0.032373176767759415,0.0,0.6474635353551883,0.28955449560130786,0.37407941922925897
2499,5,SwapAdversary,CDGS20_PGDPython,0.1,0.1335786973065055,0.0,1.3357869730650551,0.5973820950464287,0.8802972789911229
19999,10,SwapAdversary,CDGS20_PGDPython,0.05,0.08534191174262114,0.0,1.7068382348524227,0.5397496419595045,0.9861451969825924
4999,10,SwapAdversary,CDGS20_PGDPython,0.1,0.04056695642087235,0.0,0.4056695642087235,0.1282839800307488,0.2673403924003248
29999,15,SwapAdversary,CDGS20_PGDPython,0.05,0.15703767128965201,0.0,3.14075342579304,0.8109390475093557,1.8146060022027946
7499,15,SwapAdversary,CDGS20_PGDPython,0.1,0.1526589931828455,0.0,1.526589931828455,0.3941638254973015,1.006038380536284
39999,20,SwapAdversary,CDGS20_PGDPython,0.05,0.21685544034647655,0.0,4.337108806929531,0.9698070118107441,2.50581392624724
9999,20,SwapAdversary,CDGS20_PGDPython,0.1,0.30522271747952723,0.0,3.0522271747952723,0.6824987445614361,2.011448929367711
49999,25,SwapAdversary,CDGS20_PGDPython,0.05,0.268544621867351,0.0,5.3708924373470195,1.074178487469404,3.1030941728686074
12499,25,SwapAdversary,CDGS20_PGDPython,0.1,0.39629696467743697,0.0,3.9629696467743694,0.7925939293548739,2.611637534370526
9999,5,SwapAdversary,DKKLMS16_Filter,0.05,0.10221580594539277,0.0,2.0443161189078554,0.9142459618753015,1.1811268816282308
2499,5,SwapAdversary,DKKLMS16_Filter,0.1,0.20911037905815305,0.0,2.0911037905815304,0.9351700447495572,1.3780587878568078
19999,10,SwapAdversary,DKKLMS16_Filter,0.05,0.10307087077200493,0.0,2.0614174154400984,0.6518774241128261,1.1910073501419354
4999,10,SwapAdversary,DKKLMS16_Filter,0.1,0.18361425856521882,0.0,1.836142585652188,0.5806392679491719,1.2100367458147288
29999,15,SwapAdversary,DKKLMS16_Filter,0.05,0.10655706260028384,0.0,2.1311412520056767,0.5502583051622407,1.231291089479594
7499,15,SwapAdversary,DKKLMS16_Filter,0.1,0.20885091928977914,0.0,2.0885091928977912,0.5392507548329493,1.3763489214431301
39999,20,SwapAdversary,DKKLMS16_Filter,0.05,0.1144351347746297,0.0,2.288702695492594,0.5117694807408442,1.3223240049320075
9999,20,SwapAdversary,DKKLMS16_Filter,0.1,0.19094253049850357,0.0,1.9094253049850356,0.42696047799048076,1.2583308074627113
49999,25,SwapAdversary,DKKLMS16_Filter,0.05,0.11632177661171868,0.0,2.3264355322343735,0.4652871064468747,1.3441245803829387
12499,25,SwapAdversary,DKKLMS16_Filter,0.1,0.2096569576656646,0.0,2.096569576656646,0.4193139153313292,1.3816607967897379
9999,5,SwapAdversary,HeuristicRust,0.05,0.23696548262518116,0.0,4.739309652503623,2.1194837098838013,2.738190037812096
2499,5,SwapAdversary,HeuristicRust,0.1,0.3872003763069045,0.0,3.872003763069045,1.7316127246714748,2.5516900865203067
19999,10,SwapAdversary,HeuristicRust,0.05,0.32701078162235414,0.0,6.540215632447082,2.0681977787171415,3.778683944073825
4999,10,SwapAdversary,HeuristicRust,0.1,0.6484311657973785,0.0,6.484311657973785,2.050519389757988,4.2732277105136465
29999,15,SwapAdversary,HeuristicRust,0.05,0.38909133154752484,0.0,7.781826630950497,2.0092589963163094,4.496038815609596
7499,15,SwapAdversary,HeuristicRust,0.1,0.7574094656172013,0.0,7.574094656172013,1.95562283106352,4.991405853697236
39999,20,SwapAdversary,HeuristicRust,0.05,0.44218424322410754,0.0,8.84368486448215,1.9775080528568103,5.109539483389164
9999,20,SwapAdversary,HeuristicRust,0.1,0.9229204917080184,0.0,9.229204917080184,2.06371295728666,6.082140445729219
49999,25,SwapAdversary,HeuristicRust,0.05,0.49085136449743144,0.0,9.817027289948628,1.9634054579897258,5.67189913663196
12499,25,SwapAdversary,HeuristicRust,0.1,0.9905072774509894,0.0,9.905072774509893,1.9810145549019789,6.527544277215722
9999,5,SwapAdversary,FilterRust,0.05,0.23359669529947252,0.0,4.67193390598945,2.0893523600357042,2.699262934199484
2499,5,SwapAdversary,FilterRust,0.1,0.4389961345317571,0.0,4.3899613453175705,1.9632503973453033,2.893029431401006
19999,10,SwapAdversary,FilterRust,0.05,0.3279763895186725,0.0,6.5595277903734495,2.0743048192751607,3.789841762895538
4999,10,SwapAdversary,FilterRust,0.1,0.649774892907441,0.0,6.497748929074409,2.054768627979501,4.282083009618566
29999,15,SwapAdversary,FilterRust,0.05,0.39141774717946143,0.0,7.828354943589228,2.0212725549814388,4.5229210772647885
7499,15,SwapAdversary,FilterRust,0.1,0.7673052560979646,0.0,7.673052560979646,1.981173652216556,5.056620125204119
39999,20,SwapAdversary,FilterRust,0.05,0.44577773892122685,0.0,8.915554778424536,1.9935786541680338,5.151063143332231
9999,20,SwapAdversary,FilterRust,0.1,0.9091066545460369,0.0,9.091066545460368,2.0328242783623565,5.991105845816808
49999,25,SwapAdversary,FilterRust,0.05,0.4943670709574112,0.0,9.887341419148225,1.977468283829645,5.712523924250566
12499,25,SwapAdversary,FilterRust,0.1,0.9891532464590395,0.0,9.891532464590394,1.978306492918079,6.518621074475182
